theta1_x/theta_E,theta1_y/theta_E,theta2_x/theta_E,theta2_y/theta_E
9.101382427100492833e-01,7.544281194794830725e-01,-6.512554636696701316e-01,-5.398360509432784671e-01
7.683516203518707677e-01,9.248577606416497066e-01,-5.314641727163433860e-01,-6.397185242019870488e-01
6.255342568720110297e-01,1.046123300567481040e+00,-4.210460546461469722e-01,-7.041438315143560001e-01
8.248171861004325311e-01,8.787160153260022977e-01,-5.678739644102723805e-01,-6.049824805095836977e-01
9.101283704024376586e-01,7.578531875079111968e-01,-6.488518742007876039e-01,-5.402913227132075669e-01
3.597145288183407619e-01,1.153091179754736295e+00,-2.465463493825651442e-01,-7.903223197785674836e-01
8.091216707335784353e-01,8.785315961751043456e-01,-5.672093527969573890e-01,-6.158670025811719961e-01
4.267264089561146334e-01,1.120830457347419262e+00,-2.966764190701346449e-01,-7.792439359073534133e-01
4.393264959816388093e-01,1.142984981012809209e+00,-2.929971468828820869e-01,-7.622834985594281187e-01
4.770649307685531637e-01,1.087847852609098886e+00,-3.381031981863707458e-01,-7.709743776696753592e-01
8.358076046534952397e-01,8.569765813446330593e-01,-5.832640585658698251e-01,-5.980367205897793026e-01
3.606642095796479541e-01,1.150922883261496610e+00,-2.479299341579474236e-01,-7.911742476484416864e-01
6.708632335851083539e-01,9.955016076387878110e-01,-4.655277993695830507e-01,-6.908020136926672494e-01
4.878776626389315085e-01,1.108759142685110444e+00,-3.324840909067776629e-01,-7.556090467356848528e-01
6.684253041659213856e-01,9.881587482358678010e-01,-4.696471158879922947e-01,-6.942973332339095194e-01
4.318069327840861615e-01,1.113119702903918373e+00,-3.029176738158882443e-01,-7.808666454433408344e-01
6.739340868195883294e-01,9.839519979152435702e-01,-4.738177724667631541e-01,-6.917797348203089669e-01
7.479797481106701396e-01,9.534590461075047596e-01,-5.093294383731449271e-01,-6.492485414108798425e-01
4.182868568919718144e-01,1.129710581431955019e+00,-2.882331901599763935e-01,-7.784611911143790586e-01
7.801319033279108250e-01,9.085182098088824265e-01,-5.440208169887063017e-01,-6.335503222480020069e-01
3.172014960576639564e-01,1.173366652166834001e+00,-2.147016303155072081e-01,-7.942072667030259936e-01
9.825836014619663272e-01,6.910668470767319382e-01,-6.809103916861343198e-01,-4.788952276673361097e-01
7.833737778498900406e-01,9.147235450739277240e-01,-5.401111507857903060e-01,-6.306726119129902886e-01
7.969267314673503799e-01,8.643063736788531015e-01,-5.765983014746056678e-01,-6.253493167424514221e-01
6.254247186513137713e-01,1.008286041904974617e+00,-4.442578000757557710e-01,-7.162155979215939494e-01
5.803773163821878134e-01,1.039651654091786170e+00,-4.093756326022816028e-01,-7.333299244582531795e-01
7.044608781857326640e-01,9.540136194882464782e-01,-5.008939948046529089e-01,-6.783338972551504753e-01
5.565349085938526841e-01,1.055009014257880073e+00,-3.911615398330562932e-01,-7.415149421579798616e-01
8.444054282303495862e-01,8.174974401531887036e-01,-6.113021195721866086e-01,-5.918222469954979026e-01
5.584229702081675573e-01,1.062568670536718773e+00,-3.875546314477938958e-01,-7.374399540626334071e-01
7.940612174879662089e-01,9.046653449982884343e-01,-5.480242870176427195e-01,-6.243581348182015711e-01
4.072278757272338456e-01,1.149817059225482829e+00,-2.736905002953459731e-01,-7.727712785515001848e-01
9.482781843783381071e-01,7.188939851180357055e-01,-6.696690297895709909e-01,-5.076791235592519325e-01
6.393931858321475481e-01,9.929139217907129167e-01,-4.584444005734756300e-01,-7.119184842484378439e-01
6.834292954111138574e-01,9.695790341141476976e-01,-4.856801856136477302e-01,-6.890329817840038507e-01
3.852145461217492128e-01,1.146498550333835187e+00,-2.633316909039858933e-01,-7.837435136287850268e-01
5.412379440091982241e-01,1.070037392164761902e+00,-3.764037612100873953e-01,-7.441571743155627194e-01
9.874905679446136508e-01,6.779672525035815855e-01,-6.882535881350918539e-01,-4.725244061266327678e-01
4.503889611146340011e-01,1.125376894019445517e+00,-3.065281410104713777e-01,-7.659150579672379111e-01
5.439328571575675619e-01,1.068080576827202810e+00,-3.786095587154797992e-01,-7.434474872106856536e-01
5.440393311185350855e-01,1.093082229749141376e+00,-3.649292823663761176e-01,-7.332148446871769032e-01
5.623377166987116871e-01,1.068792151190263606e+00,-3.855482702015025076e-01,-7.327820148992912896e-01
6.989929361828668419e-01,9.790044202379747373e-01,-4.830499222958370975e-01,-6.765562062840574375e-01
9.630556927897560016e-01,7.122655866386324863e-01,-6.712131845844261369e-01,-4.964220203015619615e-01
6.803972286664787816e-01,9.742572997233167609e-01,-4.818275705974690570e-01,-6.899264254538007846e-01
9.267830621695763993e-01,7.367954904297066010e-01,-6.611404899016219971e-01,-5.256087982010089199e-01
6.871167083746239079e-01,9.659550344771363761e-01,-4.889819542150925513e-01,-6.874153614454314720e-01
5.401246271629365214e-01,1.059896525576901727e+00,-3.816824277645367580e-01,-7.489824731493915921e-01
7.751126461725512673e-01,8.938132809524039768e-01,-5.537698448946193341e-01,-6.385740761705710478e-01
5.180609620261581449e-01,1.064488437397987042e+00,-3.696414816398304048e-01,-7.595227435191150844e-01
5.214605113906359835e-01,1.097589869681252495e+00,-3.531435924833331574e-01,-7.433100324679952076e-01
5.661492973400202855e-01,1.059064707907987790e+00,-3.925749838858003660e-01,-7.343686772983805122e-01
8.790546803948647847e-01,7.937150647165036599e-01,-6.266783247796300360e-01,-5.658396891595686151e-01
5.929914113711554080e-01,1.035057305332420574e+00,-4.167243354530625887e-01,-7.273858599792054624e-01
6.112878802343173490e-01,1.046955760377297207e+00,-4.159017258850181142e-01,-7.123169324071518815e-01
7.272258940751046286e-01,9.300879305683705800e-01,-5.217123947338848655e-01,-6.672457698815035254e-01
7.769618029368408063e-01,9.244749407993042567e-01,-5.327773784732000584e-01,-6.339299223738784628e-01
7.039774034825090343e-01,9.918436161395699502e-01,-4.758732827614313710e-01,-6.704645280706559296e-01
3.942947493955648031e-01,1.146963120560604343e+00,-2.680466981063994170e-01,-7.797204446353205309e-01
6.292625290793149029e-01,1.035467232474777122e+00,-4.286051483859606992e-01,-7.052804931401097654e-01
4.530466456287235433e-01,1.134408669100329670e+00,-3.036232383139830238e-01,-7.602590969539240184e-01
7.636735406520513969e-01,9.203580707901005686e-01,-5.339417589656655361e-01,-6.434917291704554954e-01
7.225491952456313260e-01,9.571679950702361994e-01,-5.023815366270105720e-01,-6.655097415340834877e-01
9.242501674661568467e-01,7.758094466528755451e-01,-6.347354695579942030e-01,-5.327927337668261210e-01
8.735823056831143463e-01,8.168633621941530087e-01,-6.107208478938914720e-01,-5.710686696917045557e-01
7.152346205790094391e-01,9.551611238426418460e-01,-5.023091287884270395e-01,-6.708094633080923241e-01
5.445685501180639321e-01,1.065415930061603289e+00,-3.803740162774291167e-01,-7.441791051569612847e-01
4.114400061281683341e-01,1.149182853437216822e+00,-2.761520043916567690e-01,-7.713132988102109344e-01
7.918624370314544247e-01,9.016345502740744644e-01,-5.499079141769737111e-01,-6.261390258007845100e-01
6.317556102240471372e-01,1.035076207852458463e+00,-4.296202035845690936e-01,-7.038950568011754783e-01
7.844025296198519071e-01,9.205908411234546840e-01,-5.362428420889387981e-01,-6.293455597145162228e-01
5.460655153945176421e-01,1.068575643070467818e+00,-3.792012477216414879e-01,-7.420450581731513617e-01
8.892892558939871073e-01,8.084744233953413683e-01,-6.156524883566032447e-01,-5.597046036901043298e-01
3.737710615940478820e-01,1.149255644780910579e+00,-2.559210990216293502e-01,-7.868955033993075832e-01
7.628728771588100255e-01,9.389538015871561338e-01,-5.212271428745716140e-01,-6.415331072133645396e-01
3.036468750772594594e-01,1.189216302191771657e+00,-2.015662836893958587e-01,-7.894232748967053848e-01
5.770616355240076878e-01,1.059647353320563923e+00,-3.963736561301256511e-01,-7.278534385029464815e-01
6.156831118059665764e-01,1.030937623508543677e+00,-4.269948904959191549e-01,-7.149864747254671693e-01
8.980283185621240616e-01,7.639760356811000630e-01,-6.460104429660247227e-01,-5.495778774727279048e-01
8.939108174625769454e-01,8.099389723115926198e-01,-6.143388937654592485e-01,-5.566293667637236542e-01
3.541440798471893192e-01,1.150432975179384698e+00,-2.444203488008303560e-01,-7.939966953186211596e-01
5.846485947723004672e-01,1.029919781014689617e+00,-4.168472583589881708e-01,-7.343201384292512568e-01
5.621957173033093058e-01,1.060409016432645180e+00,-3.902696975026030968e-01,-7.361235479652866731e-01
4.540609229363761212e-01,1.119548142875046448e+00,-3.110945217633991899e-01,-7.670452939365070000e-01
5.399767531326152836e-01,1.071646642614240141e+00,-3.749834864234850018e-01,-7.441983232245151791e-01
7.734716920491948589e-01,8.849962796261976461e-01,-5.598875427943466043e-01,-6.406160658178752243e-01
4.674729769286539716e-01,1.116758083710456040e+00,-3.189462256206990753e-01,-7.619387500664364099e-01
8.434770944355424183e-01,8.234964006810437942e-01,-6.069927579565352893e-01,-5.926140196506134439e-01
6.181677560510504543e-01,1.050079884882542558e+00,-4.163308960165135741e-01,-7.072201600336501803e-01
7.738804426346008736e-01,8.926970082984353461e-01,-5.544354915473783674e-01,-6.395599078765087375e-01
5.251275420484572409e-01,1.104715430772343909e+00,-3.509846910850365487e-01,-7.383695829283409839e-01
8.682886850211802843e-01,8.359505387488037620e-01,-5.976909532308204431e-01,-5.754308249984884105e-01
9.588675201854642838e-01,6.994850189231863746e-01,-6.806724577210092608e-01,-4.965442847385014291e-01
4.523300367909826036e-01,1.134050414690140007e+00,-3.034401883500425501e-01,-7.607641399923944503e-01
6.546980597036630156e-01,9.968027157896386381e-01,-4.603271349084065434e-01,-7.008655844131497226e-01
9.516517576211735996e-01,7.258861952768558279e-01,-6.643052862187496244e-01,-5.067085021951752699e-01
4.135357669822097293e-01,1.124764668276425850e+00,-2.879560191554663695e-01,-7.832037328406751264e-01
5.737866240945784790e-01,1.078014675890941465e+00,-3.847439445191215834e-01,-7.228464401836901532e-01
6.379426129522387523e-01,9.977319055214749488e-01,-4.548805899251402440e-01,-7.114258689671846270e-01
6.294943521792539798e-01,1.041450431019770084e+00,-4.250806565255220715e-01,-7.032635502194448662e-01
3.866064006841340439e-01,1.148294171415098042e+00,-2.633479631534025311e-01,-7.821932865259475509e-01
6.141335504722860161e-01,1.007914180850451480e+00,-4.408550328734910928e-01,-7.235299862558730588e-01
3.369909493795434363e-01,1.166296083965027153e+00,-2.286529972627142360e-01,-7.913479450571795359e-01
5.222742235566907310e-01,1.071378324713092134e+00,-3.676377445558756674e-01,-7.541614981134903140e-01
7.044369694661165582e-01,9.584033585384554854e-01,-4.979167959565654056e-01,-6.774277191600925896e-01
8.577730587982332899e-01,8.497548401670276252e-01,-5.883790550697224342e-01,-5.828790549785782815e-01
3.680941551369457665e-01,1.152964637261515435e+00,-2.512895534599106084e-01,-7.871028779164493949e-01
4.958557249512403065e-01,1.095907571744156206e+00,-3.427053825672207732e-01,-7.574248006712572812e-01
3.742911205429449994e-01,1.160802744186198998e+00,-2.516146657385827101e-01,-7.803417672403164529e-01
4.277082063002459744e-01,1.147838438476479039e+00,-2.850499844150020112e-01,-7.649872604244032370e-01
9.586474176507350231e-01,7.018162788385632345e-01,-6.791447453201555629e-01,-4.971951409637115904e-01
4.872534831728717042e-01,1.114695312305649777e+00,-3.292338696109550211e-01,-7.531920525591717652e-01
4.311301381120892229e-01,1.138353717846388946e+00,-2.909655297651141392e-01,-7.682638333373661421e-01
5.571866870696516871e-01,1.044522814930594512e+00,-3.975688079430820809e-01,-7.452972227051751775e-01
6.318733825121899406e-01,1.016055351664565398e+00,-4.413656472210688575e-01,-7.097180231218398472e-01
8.194701742605712269e-01,8.623125091885406324e-01,-5.790841169460062554e-01,-6.093589414227533752e-01
6.233106472942645526e-01,1.023471422953415422e+00,-4.340573418572712949e-01,-7.127189102937153686e-01
9.409859728196133810e-01,7.276346577562585738e-01,-6.650515605262952157e-01,-5.142633138130559001e-01
6.956035978786762053e-01,9.594018467323811583e-01,-4.953325780565718262e-01,-6.831807534972992313e-01
6.635064169646791576e-01,1.010488058157438029e+00,-4.540438046934865968e-01,-6.914866695969876798e-01
4.587715053134424070e-01,1.108636386579776589e+00,-3.186918146891788428e-01,-7.701292207068785034e-01
3.708337460943040842e-01,1.148218888129594495e+00,-2.547067526811934712e-01,-7.886528867529937203e-01
5.212461564358616961e-01,1.066564185773697826e+00,-3.698731038764356271e-01,-7.568274624277303575e-01
7.831411048562891830e-01,9.222907583722125269e-01,-5.349579420878262104e-01,-6.300100493332663198e-01
8.106668066430360309e-01,8.847615876853667238e-01,-5.629694176430939390e-01,-6.144247077721260997e-01
4.628045420576984981e-01,1.095129305215972293e+00,-3.274183044798852915e-01,-7.747663380869448391e-01
9.775357534912260116e-01,6.948701730689335054e-01,-6.795896005162748166e-01,-4.830785387031164002e-01
7.518465295434603179e-01,9.410463293748033697e-01,-5.182141415122445416e-01,-6.486210902593828598e-01
6.847863595175662788e-01,9.656812535982447487e-01,-4.886191418414582710e-01,-6.890475238992461726e-01
9.599456771452433701e-01,7.110679882434991494e-01,-6.726484986454673853e-01,-4.982561264812844226e-01
8.262069071000590625e-01,8.487000910259446806e-01,-5.889237977097454557e-01,-6.049570348884466542e-01
9.344860283002154322e-01,7.244539554351908661e-01,-6.683982442202681673e-01,-5.181712055257683414e-01
7.026397750417332499e-01,9.418016725590375726e-01,-5.089036829316595512e-01,-6.821224143310473664e-01
7.590042011167547065e-01,9.366303225245802277e-01,-5.222396713708931104e-01,-6.444569227832337432e-01
4.054357901756057703e-01,1.153319598304581417e+00,-2.712808327998759150e-01,-7.716967980971061181e-01
9.246578389636009865e-01,7.531717174542795767e-01,-6.501328858026856894e-01,-5.295598885771100051e-01
3.420514354673458990e-01,1.160436899752811613e+00,-2.337034718084380069e-01,-7.928577522743430750e-01
6.982194463263439177e-01,9.726007749196654562e-01,-4.870858966487861541e-01,-6.784974595388538754e-01
5.922313834902115381e-01,1.047024855411437416e+00,-4.092824937421731812e-01,-7.235836461542639597e-01
7.730051637630799277e-01,9.073266589120574377e-01,-5.440714950290839180e-01,-6.386122563410544517e-01
6.460673565108678851e-01,1.016663319745763294e+00,-4.452543698345892142e-01,-7.006603587155957324e-01
4.680013387940377134e-01,1.122425847931220133e+00,-3.164598033061246651e-01,-7.589778780918080558e-01
7.927675645405694027e-01,9.106189991906601389e-01,-5.438454789924467292e-01,-6.246925933220665028e-01
3.699817264131083916e-01,1.149153542150236573e+00,-2.538572015092001033e-01,-7.884738123226079365e-01
6.289467049126176157e-01,1.042455111082887687e+00,-4.243084286267305716e-01,-7.032749939582525478e-01
4.375269558734479758e-01,1.119196675897379922e+00,-3.029899945553500284e-01,-7.750502916089978545e-01
7.341154184374346636e-01,9.536677743278215713e-01,-5.068430890997166482e-01,-6.584249677577901361e-01
5.833975265701916157e-01,1.051989012567402737e+00,-4.031679320227739560e-01,-7.269969710035283361e-01
3.690326918403189493e-01,1.166603162928772752e+00,-2.464904439816832382e-01,-7.792169581148525870e-01
4.103635773345816751e-01,1.147537084737794588e+00,-2.762945251568960092e-01,-7.726275708651663132e-01
9.101072084328010181e-01,7.883425375372596910e-01,-6.277557845779343504e-01,-5.437673535407480108e-01
8.037172905324365679e-01,9.023944034290793947e-01,-5.503868184836362420e-01,-6.179610549273424347e-01
5.574290319400954097e-01,1.070972731038164039e+00,-3.824005738013235844e-01,-7.346954740573614639e-01
8.407269498151201947e-01,8.688738785109955121e-01,-5.751456239518996094e-01,-5.944010824223089351e-01
6.933817118526708345e-01,9.951573937980138229e-01,-4.713302730670032581e-01,-6.764640574528564265e-01
8.331323522569595852e-01,8.494924035330299050e-01,-5.884755077153193126e-01,-6.000312820828049842e-01
5.175379317477588614e-01,1.082045376960676375e+00,-3.597341683935391110e-01,-7.521162604072411106e-01
4.439529231887965888e-01,1.141246015485594789e+00,-2.960600652811218314e-01,-7.610657621524403726e-01
7.417084698320578484e-01,9.240014372808480481e-01,-5.283162108322017048e-01,-6.581628200339402213e-01
4.477217459882363304e-01,1.136599565029489334e+00,-3.000185926580081208e-01,-7.616360048877574007e-01
5.412523855604792766e-01,1.087404097138868320e+00,-3.668508333998056758e-01,-7.370223391526882217e-01
5.942698684878583437e-01,1.044356485601843687e+00,-4.115906494678039373e-01,-7.233201395159720715e-01
9.546368360688283206e-01,7.018134726887101937e-01,-6.800019669822595647e-01,-4.999121381573894407e-01
8.589256657470943912e-01,8.232188727708932285e-01,-6.068247900745937784e-01,-5.815981982796291083e-01
3.296326095609981022e-01,1.178945706849334307e+00,-2.199646792922008154e-01,-7.867134706587419757e-01
4.931934138333361473e-01,1.093977997771498067e+00,-3.424888611763031165e-01,-7.596923805136333030e-01
8.910266882065388527e-01,8.025598257843826744e-01,-6.196158439182446465e-01,-5.580963963595679811e-01
6.665036165546519564e-01,9.931251366468152320e-01,-4.659155199879221887e-01,-6.942384151578504525e-01
